company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,132000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,132000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,39000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,15000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-58000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,50000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,178000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,178000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-78000000.0
Keurig Dr Pepper Inc.,KDP,DYTQ8KRTKO7Y2BVU5K74,0001418135,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 13:00:16+00:00,netcashfromcontinuinginvestingactivities,acquisitions,Acquisitions,+,debit,usd,-5000000.0
