company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,1520216000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,1520216000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,864824000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,864824000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,655392000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,415126000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totaloperatingexpenses,rdexpense,Research & Development Expense,+,debit,usd,371463000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totaloperatingexpenses,impairmentexpense,Impairment Charge,+,debit,usd,446744000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,1233333000.0
KLA-Tencor Corp,KLAC,549300H0BF5JCG96TJ81,0000319201,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 17:09:55+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,-577941000.0
