company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,18454000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,66800000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,32339000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,3497000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,3510000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,124600000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,117300000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,166840000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,39120000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,2504000.0
Multi-Color Corp,LABL,5493002OTV1C4F4YVI40,0000819220,2012.0,Q1,,2011-06-30,2011-08-09 16:28:28+00:00,totalnoncurrentassets,othernoncurrentnonoperatingassets,Other Noncurrent Nonoperating Assets,+,debit,usd,1975000.0
