company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,102299000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,102299000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,3884000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,4339000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-72609000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-42979000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-5066000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-5066000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-1307000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-70011000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,-8000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,30524000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-52653000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-93455000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-93428000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,32290000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-8852000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,1134000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,5216000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,-6406000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,23382000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,23362000.0
Lennar Corp,LEN,,0000920760,2011.0,Q2,2011-03-01,2011-05-31,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,-75132000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,23500000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,23500000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,4670000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,4218000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,13866000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-166446000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-120192000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-120192000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-2000000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-94876000.0
Lennar Corp,LEN,,0000920760,2011.0,Q3,2011-06-01,2011-08-31,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,-2730000.0
