company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lorillard Inc ,LO,,1424847,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:22:35+00:00,5.16,5.16,,5.16,485000000.0,898000000.0,898000000.0,898000000.0,2313000000.0,3969000000.0,382000000.0,2313000000.0,1656000000.0,0.0,109000000.0,382000000.0,1274000000.0,109000000.0,1383000000.0,3969000000.0,174000000.0,173920000.0,173920000.0
Lorillard Inc ,LO,,1424847,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 08:09:03+00:00,5.15,5.15,,5.15,547000000.0,887000000.0,887000000.0,887000000.0,2434000000.0,4204000000.0,355000000.0,2434000000.0,1770000000.0,1000000.0,20000000.0,355000000.0,1415000000.0,19000000.0,1434000000.0,4204000000.0,172200000.0,172090000.0,172210000.0
Lorillard Inc ,LO,,1424847,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 13:45:21+00:00,1.38,1.38,,1.38,149000000.0,237000000.0,237000000.0,237000000.0,655000000.0,1125000000.0,88000000.0,655000000.0,470000000.0,1000000.0,5000000.0,88000000.0,382000000.0,4000000.0,386000000.0,1125000000.0,171700000.0,172370000.0,172490000.0
Lorillard Inc ,LO,,1424847,2008.0,Q2,2008-04-01,2008-06-30,2009-07-30 12:02:31+00:00,1.25,1.25,,1.25,140000000.0,217000000.0,217000000.0,217000000.0,627000000.0,1070000000.0,91000000.0,627000000.0,443000000.0,1000000.0,6000000.0,91000000.0,352000000.0,5000000.0,357000000.0,1070000000.0,173600000.0,173920000.0,173920000.0
Lorillard Inc ,LO,,1424847,2009.0,Q4,2009-10-01,2009-12-31,,1.52,1.52,3.84,1.52,148000000.0,243000000.0,243000000.0,243000000.0,895000000.0,1378000000.0,84000000.0,895000000.0,483000000.0,10000000.0,2000000.0,84000000.0,399000000.0,-8000000.0,391000000.0,1378000000.0,164600000.0,164480000.0,164620000.0
Lorillard Inc ,LO,,1424847,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 10:45:46+00:00,5.76,5.76,3.84,5.76,571000000.0,948000000.0,948000000.0,948000000.0,3327000000.0,5233000000.0,365000000.0,3327000000.0,1906000000.0,27000000.0,5000000.0,365000000.0,1541000000.0,-22000000.0,1519000000.0,5233000000.0,164600000.0,164480000.0,164620000.0
Lorillard Inc ,LO,,1424847,2009.0,Q3YTD,2009-01-01,2009-09-30,,4.24,4.24,,4.24,423000000.0,705000000.0,705000000.0,705000000.0,2432000000.0,3855000000.0,281000000.0,2432000000.0,1423000000.0,17000000.0,3000000.0,281000000.0,1142000000.0,-14000000.0,1128000000.0,3855000000.0,163200000.0,163580000.0,163720000.0
Lorillard Inc ,LO,,1424847,2009.0,Q3,2009-07-01,2009-09-30,2010-10-27 14:22:09+00:00,1.44,1.44,,1.44,143000000.0,235000000.0,235000000.0,235000000.0,931000000.0,1419000000.0,96000000.0,931000000.0,488000000.0,15000000.0,1000000.0,96000000.0,392000000.0,-14000000.0,378000000.0,1419000000.0,163200000.0,163580000.0,163720000.0
Lorillard Inc ,LO,,1424847,2009.0,Q2YTD,2009-01-01,2009-06-30,,2.8,2.8,,2.8,280000000.0,470000000.0,470000000.0,470000000.0,1501000000.0,2436000000.0,185000000.0,1501000000.0,935000000.0,2000000.0,2000000.0,185000000.0,750000000.0,,750000000.0,2436000000.0,167300000.0,167660000.0,167790000.0
Lorillard Inc ,LO,,1424847,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 09:12:40+00:00,1.71,1.71,,1.71,169000000.0,286000000.0,286000000.0,286000000.0,967000000.0,1519000000.0,96000000.0,967000000.0,552000000.0,2000000.0,1000000.0,96000000.0,456000000.0,-1000000.0,455000000.0,1519000000.0,167300000.0,167660000.0,167790000.0
Lorillard Inc ,LO,,1424847,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 08:21:30+00:00,1.09,1.09,,1.09,111000000.0,184000000.0,184000000.0,184000000.0,534000000.0,917000000.0,89000000.0,534000000.0,383000000.0,,1000000.0,89000000.0,294000000.0,1000000.0,295000000.0,917000000.0,168800000.0,168070000.0,168180000.0
Lorillard Inc ,LO,,1424847,2010.0,Q4,2010-10-01,2010-12-31,,0.57,0.57,0.37,0.57,147000000.0,260000000.0,260000000.0,260000000.0,948000000.0,1485000000.0,104000000.0,948000000.0,537000000.0,27000000.0,1000000.0,104000000.0,433000000.0,-26000000.0,407000000.0,1485000000.0,455300000.0,454760000.0,455190000.0
Lorillard Inc ,LO,,1424847,2010.0,FY,2010-01-01,2010-12-31,2013-02-19 07:20:39+00:00,2.26,2.26,1.42,2.25,606000000.0,1029000000.0,1029000000.0,1029000000.0,3809000000.0,5932000000.0,398000000.0,3809000000.0,2123000000.0,94000000.0,4000000.0,398000000.0,1725000000.0,-90000000.0,1635000000.0,5932000000.0,455300000.0,454760000.0,455190000.0
Lorillard Inc ,LO,,1424847,2010.0,Q3YTD,2010-01-01,2010-09-30,,5.08,5.08,3.16,5.08,459000000.0,769000000.0,769000000.0,769000000.0,2861000000.0,4447000000.0,294000000.0,2861000000.0,1586000000.0,67000000.0,3000000.0,294000000.0,1292000000.0,-64000000.0,1228000000.0,4447000000.0,150500000.0,151330000.0,151540000.0
Lorillard Inc ,LO,,1424847,2010.0,Q3TTM,2009-10-01,2010-09-30,,6.69,6.69,4.2,6.69,607000000.0,1012000000.0,1012000000.0,1012000000.0,3756000000.0,5825000000.0,378000000.0,3756000000.0,2069000000.0,77000000.0,5000000.0,378000000.0,1691000000.0,-72000000.0,1619000000.0,5825000000.0,150500000.0,151330000.0,151540000.0
Lorillard Inc ,LO,,1424847,2010.0,Q3,2010-07-01,2010-09-30,2011-10-26 17:46:35+00:00,1.82,1.82,,1.81,163000000.0,274000000.0,274000000.0,274000000.0,1001000000.0,1567000000.0,101000000.0,1001000000.0,566000000.0,29000000.0,1000000.0,101000000.0,465000000.0,-28000000.0,437000000.0,1567000000.0,150500000.0,151330000.0,151540000.0
Lorillard Inc ,LO,,1424847,2010.0,Q2YTD,2010-01-01,2010-06-30,,3.26,3.26,2.02,3.26,296000000.0,495000000.0,495000000.0,495000000.0,1860000000.0,2880000000.0,193000000.0,1860000000.0,1020000000.0,38000000.0,2000000.0,193000000.0,827000000.0,-36000000.0,791000000.0,2880000000.0,152000000.0,152040000.0,152220000.0
Lorillard Inc ,LO,,1424847,2010.0,Q2TTM,2009-07-01,2010-06-30,,6.4,6.4,4.14,6.4,587000000.0,973000000.0,973000000.0,973000000.0,3686000000.0,5677000000.0,373000000.0,3686000000.0,1991000000.0,63000000.0,5000000.0,373000000.0,1618000000.0,-58000000.0,1560000000.0,5677000000.0,152000000.0,152040000.0,152220000.0
Lorillard Inc ,LO,,1424847,2010.0,Q2,2010-04-01,2010-06-30,2011-07-28 13:23:44+00:00,1.73,1.73,,1.73,155000000.0,263000000.0,263000000.0,263000000.0,978000000.0,1520000000.0,97000000.0,978000000.0,542000000.0,28000000.0,1000000.0,97000000.0,445000000.0,-27000000.0,418000000.0,1520000000.0,152000000.0,152040000.0,152220000.0
Lorillard Inc ,LO,,1424847,2010.0,Q1TTM,2009-04-01,2010-03-31,,6.44,6.44,4.08,6.44,601000000.0,996000000.0,996000000.0,996000000.0,3675000000.0,5676000000.0,372000000.0,3675000000.0,2001000000.0,37000000.0,5000000.0,372000000.0,1629000000.0,-32000000.0,1597000000.0,5676000000.0,154700000.0,154550000.0,154720000.0
