company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,904600000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,904600000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,623800000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,623800000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,280800000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,155100000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totaloperatingexpenses,rdexpense,Research & Development Expense,+,debit,usd,92900000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totaloperatingexpenses,restructuringcharge,Restructuring Charge,+,debit,usd,5100000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,253100000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,27700000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,5000000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalotherincome,totalinterestincome,Interest & Investment Income,+,credit,usd,-800000.0
Lexmark International Inc,LXK,549300TGOGJOCWL57Z97,0001001288,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:53:31+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,-1100000.0
