company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2007.0,FY,2007-01-01,2007-12-31,2010-02-16 17:29:39+00:00,1.02,1.02,,1.02,119000000.0,337000000.0,423000000.0,539000000.0,-116000000.0,386000000.0,37000000.0,8280000000.0,11413000000.0,73000000.0,,,1953000000.0,8280000000.0,3133000000.0,258000000.0,2072000000.0,1061000000.0,-185000000.0,876000000.0,11413000000.0,378400000.0,378400000.0,378400000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 16:17:00+00:00,-1.13,-1.13,0.925,-1.13,467000000.0,134000000.0,-352000000.0,-327000000.0,-25000000.0,-391000000.0,39000000.0,7125000000.0,9484000000.0,-55000000.0,,,1802000000.0,7125000000.0,2359000000.0,228000000.0,2269000000.0,90000000.0,-283000000.0,-193000000.0,9484000000.0,353000000.0,353000000.0,353000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 14:41:39+00:00,0.09,0.09,,0.09,,92000000.0,44000000.0,46000000.0,-2000000.0,33000000.0,11000000.0,1863000000.0,2511000000.0,3000000.0,0.0,,454000000.0,1863000000.0,648000000.0,59000000.0,454000000.0,194000000.0,-56000000.0,138000000.0,2511000000.0,366700000.0,366700000.0,366700000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2008.0,Q2,2008-04-01,2008-06-30,2009-08-25 16:27:49+00:00,0.23,0.23,,0.23,,75000000.0,94000000.0,84000000.0,10000000.0,82000000.0,12000000.0,1943000000.0,2643000000.0,1000000.0,0.0,,485000000.0,1943000000.0,700000000.0,57000000.0,485000000.0,215000000.0,-56000000.0,159000000.0,2643000000.0,356500000.0,356500000.0,356500000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2009.0,Q4,2009-10-01,2009-12-31,,-0.76,-0.53,0.31,-0.53,262000000.0,-79000000.0,-174000000.0,-152000000.0,-22000000.0,-185000000.0,11000000.0,1276000000.0,1763000000.0,7000000.0,-8000000.0,,415000000.0,1276000000.0,487000000.0,56000000.0,669000000.0,-182000000.0,-49000000.0,-231000000.0,1763000000.0,351000000.0,351000000.0,351000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 16:51:13+00:00,-0.53,-0.53,0.46,-0.53,262000000.0,-44000000.0,-145000000.0,-92000000.0,-53000000.0,-183000000.0,38000000.0,5647000000.0,7657000000.0,19000000.0,,,1678000000.0,5647000000.0,2010000000.0,225000000.0,1940000000.0,70000000.0,-206000000.0,-136000000.0,7657000000.0,351000000.0,351000000.0,351000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.23,0.23,0.15,0.23,,35000000.0,29000000.0,60000000.0,-31000000.0,2000000.0,27000000.0,4371000000.0,5894000000.0,12000000.0,8000000.0,,1263000000.0,4371000000.0,1523000000.0,169000000.0,1271000000.0,252000000.0,-157000000.0,95000000.0,5894000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 13:16:28+00:00,0.08,0.08,0.075,0.08,,26000000.0,40000000.0,63000000.0,-23000000.0,28000000.0,12000000.0,1517000000.0,2084000000.0,7000000.0,,,429000000.0,1517000000.0,567000000.0,56000000.0,429000000.0,138000000.0,-49000000.0,89000000.0,2084000000.0,350000000.0,350000000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.15,-0.08,0.08,-0.08,,9000000.0,-11000000.0,-3000000.0,-8000000.0,-26000000.0,15000000.0,2854000000.0,3810000000.0,5000000.0,8000000.0,,834000000.0,2854000000.0,956000000.0,113000000.0,842000000.0,114000000.0,-108000000.0,6000000.0,3810000000.0,350000000.0,366700000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 14:29:31+00:00,0.15,0.15,0.075,0.15,,-8000000.0,63000000.0,75000000.0,-12000000.0,55000000.0,8000000.0,1470000000.0,2013000000.0,8000000.0,,,427000000.0,1470000000.0,543000000.0,57000000.0,427000000.0,116000000.0,-49000000.0,67000000.0,2013000000.0,350000000.0,366700000.0,350000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2009.0,Q1,2009-01-01,2009-03-31,2010-04-30 09:05:17+00:00,,-0.23,,-0.23,,17000000.0,-74000000.0,-78000000.0,4000000.0,-81000000.0,7000000.0,1384000000.0,1797000000.0,-3000000.0,8000000.0,,407000000.0,1384000000.0,413000000.0,56000000.0,415000000.0,-2000000.0,-59000000.0,-61000000.0,1797000000.0,,352200000.0,352200000.0
