company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 11:55:07+00:00,13000000.0,1.71,1.71,1.04,1.7,1080000000.0,2724000000.0,2492000000.0,232000000.0,2721000000.0,3000000.0,23656000000.0,35858000000.0,,,,,-14000000.0,440000000.0,7587000000.0,23656000000.0,12202000000.0,604000000.0,,8026000000.0,4176000000.0,-604000000.0,3572000000.0,35858000000.0,1591200000.0,1591200000.0,1600600000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 10:44:30+00:00,23000000.0,1.92,1.92,1.12,1.9,658000000.0,2893000000.0,1678000000.0,1215000000.0,2884000000.0,9000000.0,27164000000.0,40492000000.0,,,,,92000000.0,1024000000.0,8613000000.0,27164000000.0,13328000000.0,1240000000.0,,9752000000.0,3576000000.0,-1240000000.0,2336000000.0,40492000000.0,1505000000.0,1505000000.0,1505000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,Q3,2008-07-01,2008-09-30,2009-11-03 17:10:27+00:00,7000000.0,0.91,0.91,0.29,0.91,205000000.0,1365000000.0,520000000.0,845000000.0,1362000000.0,3000000.0,7096000000.0,10401000000.0,,,,,1000000.0,123000000.0,2151000000.0,7096000000.0,3305000000.0,298000000.0,,2282000000.0,1023000000.0,-298000000.0,725000000.0,10401000000.0,1496700000.0,1496700000.0,1496700000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 11:43:35+00:00,4000000.0,0.49,0.49,0.27,0.49,414000000.0,747000000.0,678000000.0,69000000.0,745000000.0,2000000.0,6936000000.0,10804000000.0,,,,,74000000.0,103000000.0,2264000000.0,6936000000.0,3868000000.0,331000000.0,,2445000000.0,1423000000.0,-331000000.0,1092000000.0,10804000000.0,1520400000.0,1520400000.0,1520400000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q4,2009-10-01,2009-12-31,,11000000.0,0.47,0.47,0.29,0.47,239000000.0,711000000.0,652000000.0,59000000.0,710000000.0,1000000.0,6652000000.0,10597000000.0,,,,,-11000000.0,-38000000.0,2770000000.0,6652000000.0,3945000000.0,322000000.0,,2732000000.0,1213000000.0,-322000000.0,891000000.0,10597000000.0,1478000000.0,1478000000.0,1478000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 10:45:56+00:00,26000000.0,2.04,2.04,1.16,2.03,1136000000.0,3028000000.0,2810000000.0,218000000.0,3021000000.0,7000000.0,24819000000.0,38754000000.0,,,,,6000000.0,-64000000.0,8784000000.0,24819000000.0,13935000000.0,1237000000.0,,8752000000.0,5183000000.0,-1237000000.0,3946000000.0,38754000000.0,1478000000.0,1478000000.0,1478000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q3YTD,2009-01-01,2009-09-30,,15000000.0,1.57,1.57,0.87,1.56,897000000.0,2317000000.0,2158000000.0,159000000.0,2311000000.0,6000000.0,18167000000.0,28157000000.0,,,,,17000000.0,-26000000.0,6014000000.0,18167000000.0,9990000000.0,915000000.0,,6020000000.0,3970000000.0,-915000000.0,3055000000.0,28157000000.0,1479000000.0,1479000000.0,1479000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 11:53:12+00:00,6000000.0,0.56,0.56,0.29,0.55,242000000.0,826000000.0,774000000.0,52000000.0,824000000.0,2000000.0,6019000000.0,9397000000.0,,,,,,,2033000000.0,6019000000.0,3378000000.0,323000000.0,,2039000000.0,1339000000.0,-323000000.0,1016000000.0,9397000000.0,1479000000.0,1479000000.0,1479000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q2YTD,2009-01-01,2009-06-30,,9000000.0,1.01,1.01,0.58,1.01,655000000.0,1491000000.0,1384000000.0,107000000.0,1487000000.0,4000000.0,12148000000.0,18760000000.0,,,,,17000000.0,-26000000.0,3981000000.0,12148000000.0,6612000000.0,592000000.0,,3981000000.0,2631000000.0,-592000000.0,2039000000.0,18760000000.0,1478000000.0,1478000000.0,1478000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q2,2009-04-01,2009-06-30,2010-08-19 16:34:45+00:00,3000000.0,0.56,0.56,0.29,0.56,363000000.0,829000000.0,781000000.0,48000000.0,827000000.0,2000000.0,6269000000.0,9781000000.0,,,,,17000000.0,-26000000.0,2062000000.0,6269000000.0,3512000000.0,312000000.0,,2056000000.0,1456000000.0,-312000000.0,1144000000.0,9781000000.0,1478000000.0,1478000000.0,1478000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 12:11:46+00:00,6000000.0,0.45,0.45,0.29,0.45,292000000.0,662000000.0,603000000.0,59000000.0,660000000.0,2000000.0,5879000000.0,8979000000.0,,,,,,,1919000000.0,5879000000.0,3100000000.0,280000000.0,,1925000000.0,1175000000.0,-280000000.0,895000000.0,8979000000.0,1466700000.0,1466700000.0,1466700000.0
