company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,24770000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalcurrentassets,shortterminvestments,Short-Term Investments,+,debit,usd,497000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalcurrentassets,notereceivable,Note & Lease Receivable,+,debit,usd,0.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,1593000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,26860000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,200383000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalnoncurrentassets,noncurrentnotereceivables,Noncurrent Note & Lease Receivables,+,debit,usd,885000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,230000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,1115000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,,totalassets,Total Assets,=,debit,usd,228358000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,1600000.0
MannKind Corp,MNKD,213800GFBCNY1ZFST722,0000899460,2011.0,Q2,,2011-06-30,2011-08-04 16:16:04+00:00,totalcurrentliabilities,accruedexpenses,Accrued Expenses,+,credit,usd,19958000.0
