company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,618000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,4507000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,6569000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,4576000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,1007000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,17277000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,149894000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,2753000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,1763000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,4516000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,,totalassets,Total Assets,=,debit,usd,171687000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,8879000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentliabilities,accruedexpenses,Accrued Expenses,+,credit,usd,7517000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentliabilities,currentdeferredtaxliabilities,Current Deferred & Payable Income Tax Liabilities,+,credit,usd,1351000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcurrentliabilities,currentemployeebenefitliabilities,Current Employee Benefit Liabilities,+,credit,usd,6699000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,24446000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalnoncurrentliabilities,longtermdebt,Long-Term Debt,+,credit,usd,207000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalnoncurrentliabilities,noncurrentdeferredrevenue,Noncurrent Deferred Revenue,+,credit,usd,25447000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,2351000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,28005000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,52451000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalliabilitiesandequity,redeemablenoncontrollinginterest,Redeemable Noncontrolling Interest,+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,114601000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,4635000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,119236000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,119236000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,119236000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q2,,2013-07-02,2013-08-09 16:19:55+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,171687000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,589000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,5842000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,7082000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,4999000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,18512000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,158413000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,2753000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,2132000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,4885000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,,totalassets,Total Assets,=,debit,usd,181810000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,8817000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentliabilities,accruedexpenses,Accrued Expenses,+,credit,usd,7614000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentliabilities,currentdeferredtaxliabilities,Current Deferred & Payable Income Tax Liabilities,+,credit,usd,2260000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcurrentliabilities,currentemployeebenefitliabilities,Current Employee Benefit Liabilities,+,credit,usd,8871000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,27562000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalnoncurrentliabilities,longtermdebt,Long-Term Debt,+,credit,usd,1714000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalnoncurrentliabilities,noncurrentdeferredrevenue,Noncurrent Deferred Revenue,+,credit,usd,27596000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,2426000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,31736000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,59298000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalliabilitiesandequity,redeemablenoncontrollinginterest,Redeemable Noncontrolling Interest,+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,114612000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,7900000.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,0.0
Noodles & Co,NDLS,,0001275158,2013.0,Q3,,2013-10-01,2013-11-07 16:30:32+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,122512000.0
