company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,FY,,2009-05-31,2010-07-20 17:18:30+00:00,1031900000.0,2883900000.0,1783900000.0,,367500000.0,2291100000.0,,2871400000.0,272400000.0,86300000.0,193500000.0,,467400000.0,437200000.0,2357000000.0,1957700000.0,897000000.0,842000000.0,,,,,,765600000.0,300000.0,5451400000.0,374900000.0,1164000000.0,13249600000.0,8690300000.0,9734000000.0,3277000000.0,8693100000.0,8693100000.0,4556200000.0,13249600000.0,1557900000.0,1279200000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,FY,,2010-05-31,2011-07-22 16:16:31+00:00,1255000000.0,2650000000.0,1904000000.0,,215000000.0,3079000000.0,0.0,3441000000.0,249000000.0,59000000.0,188000000.0,,467000000.0,446000000.0,2041000000.0,1932000000.0,873000000.0,855000000.0,,,,,,873000000.0,0.0,6095000000.0,146000000.0,2067000000.0,14419000000.0,9751000000.0,10959000000.0,3364000000.0,9754000000.0,9754000000.0,4665000000.0,14419000000.0,1528000000.0,1301000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q3,,2010-02-28,2010-04-07 17:10:32+00:00,994700000.0,2833800000.0,1647700000.0,2474600000.0,234400000.0,2225200000.0,,3272600000.0,221700000.0,88000000.0,190700000.0,4437200000.0,468000000.0,451900000.0,2150300000.0,1962600000.0,867000000.0,848500000.0,,,,,,843300000.0,300000.0,5919100000.0,116300000.0,1813700000.0,13576300000.0,9426100000.0,10088000000.0,2846700000.0,9428900000.0,9428900000.0,4147100000.0,13576300000.0,1525700000.0,1300400000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q2,,2009-11-30,2010-01-06 17:17:10+00:00,1008700000.0,2716500000.0,1597700000.0,2478600000.0,156000000.0,2035200000.0,,3186100000.0,220000000.0,81200000.0,196200000.0,4502500000.0,472500000.0,459600000.0,2176300000.0,2023900000.0,900200000.0,876100000.0,,,,,,642800000.0,300000.0,5879200000.0,110700000.0,1974800000.0,13358400000.0,9221300000.0,9765600000.0,2798300000.0,9224100000.0,9224100000.0,4134000000.0,13358400000.0,1568900000.0,1335700000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q1,,2009-08-31,2009-10-08 17:06:59+00:00,961900000.0,2835300000.0,1643400000.0,2393000000.0,244300000.0,2260600000.0,,3015900000.0,214100000.0,145700000.0,194900000.0,4373800000.0,471200000.0,443200000.0,2288400000.0,1980800000.0,936800000.0,803600000.0,,,,,,639300000.0,300000.0,5827700000.0,101800000.0,1369200000.0,13190600000.0,9087900000.0,9606900000.0,2852800000.0,9090700000.0,9090700000.0,4099600000.0,13190600000.0,1602900000.0,1246800000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2011.0,FY,,2011-05-31,2012-07-24 16:16:23+00:00,1469000000.0,3138000000.0,1985000000.0,,95000000.0,1955000000.0,0.0,3944000000.0,312000000.0,117000000.0,205000000.0,,487000000.0,276000000.0,2715000000.0,2115000000.0,894000000.0,921000000.0,,,,,,594000000.0,0.0,5801000000.0,387000000.0,2583000000.0,14998000000.0,9840000000.0,11297000000.0,3958000000.0,9843000000.0,9843000000.0,5155000000.0,14998000000.0,1586000000.0,1197000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2011.0,Q3,,2011-02-28,2011-04-06 16:43:42+00:00,1147000000.0,2985000000.0,1745000000.0,2747000000.0,106000000.0,2132000000.0,,3839000000.0,286000000.0,113000000.0,194000000.0,4804000000.0,472000000.0,276000000.0,2536000000.0,2057000000.0,970000000.0,958000000.0,,,,,,513000000.0,0.0,5954000000.0,337000000.0,2333000000.0,14478000000.0,9899000000.0,10785000000.0,3342000000.0,9902000000.0,9902000000.0,4576000000.0,14478000000.0,1636000000.0,1234000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2011.0,Q2,,2010-11-30,2011-01-06 17:02:58+00:00,1225000000.0,2792000000.0,1685000000.0,2638000000.0,151000000.0,1768000000.0,,3752000000.0,267000000.0,78000000.0,192000000.0,4641000000.0,469000000.0,338000000.0,2348000000.0,2003000000.0,884000000.0,929000000.0,,,,,,720000000.0,0.0,6043000000.0,260000000.0,3021000000.0,14464000000.0,9946000000.0,10916000000.0,3248000000.0,9949000000.0,9949000000.0,4515000000.0,14464000000.0,1545000000.0,1267000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2011.0,Q1,,2010-08-31,2010-10-06 16:05:05+00:00,1101000000.0,2791000000.0,1696000000.0,2560000000.0,138000000.0,2010000000.0,,3508000000.0,259000000.0,104000000.0,192000000.0,4535000000.0,470000000.0,342000000.0,2210000000.0,1975000000.0,883000000.0,907000000.0,,,,,,583000000.0,0.0,6011000000.0,241000000.0,2678000000.0,14051000000.0,9657000000.0,10531000000.0,3142000000.0,9660000000.0,9660000000.0,4391000000.0,14051000000.0,1545000000.0,1249000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2012.0,FY,,2012-05-31,2013-07-23 16:32:32+00:00,1549000000.0,3132000000.0,1941000000.0,,149000000.0,2317000000.0,0.0,4641000000.0,262000000.0,65000000.0,131000000.0,,370000000.0,228000000.0,3222000000.0,2209000000.0,910000000.0,974000000.0,,615000000.0,170000000.0,,,857000000.0,0.0,5588000000.0,157000000.0,1440000000.0,15465000000.0,10378000000.0,11845000000.0,3882000000.0,10381000000.0,10381000000.0,5084000000.0,15465000000.0,1411000000.0,1202000000.0
