company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2007.0,FY,2007-01-01,2007-12-31,2010-02-08 21:29:13+00:00,-690000000.0,-853000000.0,-334000000.0,,0.0,,274000000.0,0.0,-1512000000.0,-1430000000.0,,,,,-1512000000.0,-1430000000.0,2890000000.0,-52000000.0,,,,52000000.0,-59000000.0,-504000000.0,,-681000000.0,-159000000.0,-1175000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2008.0,FY,2008-01-01,2008-12-31,2010-02-08 21:29:13+00:00,-92000000.0,-712000000.0,-287000000.0,,175000000.0,,103000000.0,0.0,-2044000000.0,-626000000.0,3211000000.0,,,,-2044000000.0,-626000000.0,3211000000.0,541000000.0,,,3211000000.0,48000000.0,-28000000.0,-525000000.0,,-681000000.0,-115000000.0,-1555000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2008.0,Q4,2008-10-01,2008-12-31,,-92000000.0,-1281000000.0,-538000000.0,,,,8000000.0,-3000000.0,-222000000.0,-327000000.0,,,,,-222000000.0,-327000000.0,1037000000.0,488000000.0,,,0.0,1000000.0,2000000.0,-130000000.0,,-237000000.0,-5000000.0,-93000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-21 11:31:53+00:00,,569000000.0,251000000.0,,175000000.0,,95000000.0,3000000.0,-1822000000.0,-299000000.0,,,,,-1822000000.0,-299000000.0,2174000000.0,53000000.0,,,,47000000.0,-30000000.0,-395000000.0,,-444000000.0,-110000000.0,-1462000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q4,2009-10-01,2009-12-31,,,99000000.0,257000000.0,,1650000000.0,0.0,22000000.0,839000000.0,-986000000.0,1589000000.0,,,-184000000.0,,-986000000.0,1405000000.0,931000000.0,1350000000.0,,,0.0,-850000000.0,-24000000.0,-134000000.0,,-37000000.0,-413000000.0,-450000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,FY,2009-01-01,2009-12-31,2012-02-08 09:01:52+00:00,,774000000.0,257000000.0,,1650000000.0,,51000000.0,843000000.0,-1229000000.0,1050000000.0,,,-184000000.0,,-1229000000.0,866000000.0,2133000000.0,1770000000.0,,,,2000000.0,-127000000.0,-539000000.0,,-473000000.0,-486000000.0,-1100000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-21 11:31:53+00:00,,675000000.0,,,,832000000.0,29000000.0,4000000.0,-243000000.0,-539000000.0,1202000000.0,,,,-243000000.0,-539000000.0,1202000000.0,420000000.0,,,370000000.0,852000000.0,-103000000.0,-405000000.0,,-436000000.0,-73000000.0,-650000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q3TTM,2008-10-01,2009-09-30,,-92000000.0,-606000000.0,-538000000.0,,,0.0,37000000.0,1000000.0,-465000000.0,-866000000.0,,,,,-465000000.0,-866000000.0,2239000000.0,908000000.0,,,0.0,853000000.0,-101000000.0,-535000000.0,,-673000000.0,-78000000.0,-743000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q3,2009-07-01,2009-09-30,,33000000.0,208000000.0,-141000000.0,,,,12000000.0,1000000.0,501000000.0,-177000000.0,544000000.0,,,,501000000.0,-177000000.0,544000000.0,868000000.0,,,,852000000.0,-71000000.0,-136000000.0,,-139000000.0,-1000000.0,-227000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q2YTD,2009-01-01,2009-06-30,2009-07-23 08:07:31+00:00,-33000000.0,467000000.0,141000000.0,,0.0,,17000000.0,3000000.0,-744000000.0,-362000000.0,658000000.0,,,,-744000000.0,-362000000.0,658000000.0,-448000000.0,,,0.0,0.0,-32000000.0,-269000000.0,,-297000000.0,-72000000.0,-423000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q2,2009-04-01,2009-06-30,,-33000000.0,540000000.0,239000000.0,,,,9000000.0,3000000.0,-470000000.0,-186000000.0,658000000.0,,,,-470000000.0,-186000000.0,830000000.0,174000000.0,,,172000000.0,,-18000000.0,-138000000.0,,-135000000.0,-71000000.0,-273000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q1,2009-01-01,2009-03-31,2010-04-28 10:51:01+00:00,,-73000000.0,-98000000.0,,,,8000000.0,,-274000000.0,-176000000.0,,,,,-274000000.0,-176000000.0,-172000000.0,-622000000.0,,,,,-14000000.0,-131000000.0,,-162000000.0,-1000000.0,-150000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q4,2010-10-01,2010-12-31,,,138000000.0,269000000.0,,,0.0,-112000000.0,1481000000.0,345000000.0,-190000000.0,,-179000000.0,-189000000.0,,166000000.0,-379000000.0,1387000000.0,1174000000.0,,,0.0,152000000.0,-1000000.0,-137000000.0,-2000000.0,-187000000.0,-922000000.0,-117000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,FY,2010-01-01,2010-12-31,2013-02-04 17:42:40+00:00,,1071000000.0,269000000.0,,,,,1484000000.0,-1087000000.0,-571000000.0,,-179000000.0,-189000000.0,,-1266000000.0,-760000000.0,2453000000.0,427000000.0,,,,164000000.0,16000000.0,-545000000.0,-2000000.0,-585000000.0,-1013000000.0,-1177000000.0,0.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q3YTD,2010-01-01,2010-09-30,2010-10-27 10:46:40+00:00,,933000000.0,,,,438000000.0,112000000.0,3000000.0,-1432000000.0,-381000000.0,1066000000.0,,,,-1432000000.0,-381000000.0,1066000000.0,-747000000.0,,,628000000.0,12000000.0,17000000.0,-408000000.0,,-398000000.0,-91000000.0,-1060000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q3TTM,2009-10-01,2010-09-30,,,1032000000.0,257000000.0,,1650000000.0,0.0,134000000.0,842000000.0,-2418000000.0,1208000000.0,,,-184000000.0,,-2418000000.0,1024000000.0,1997000000.0,603000000.0,,,0.0,-838000000.0,-7000000.0,-542000000.0,,-435000000.0,-504000000.0,-1510000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q3,2010-07-01,2010-09-30,,,301000000.0,-144000000.0,,,,9000000.0,2000000.0,-331000000.0,-163000000.0,978000000.0,,,,-331000000.0,-163000000.0,978000000.0,484000000.0,,,,2000000.0,-3000000.0,-138000000.0,,-160000000.0,-1000000.0,-205000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q2YTD,2010-01-01,2010-06-30,2010-07-29 10:48:25+00:00,,632000000.0,144000000.0,,,,103000000.0,1000000.0,-1101000000.0,-218000000.0,88000000.0,,,,-1101000000.0,-218000000.0,88000000.0,-1231000000.0,,,,10000000.0,20000000.0,-270000000.0,,-238000000.0,-90000000.0,-855000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q2TTM,2009-07-01,2010-06-30,,33000000.0,939000000.0,260000000.0,,1650000000.0,,137000000.0,841000000.0,-1586000000.0,1194000000.0,-570000000.0,,-184000000.0,,-1586000000.0,1010000000.0,1563000000.0,987000000.0,,,2133000000.0,12000000.0,-75000000.0,-540000000.0,,-414000000.0,-504000000.0,-1532000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q2,2010-04-01,2010-06-30,,,743000000.0,270000000.0,,,,33000000.0,-1000000.0,-453000000.0,-83000000.0,619000000.0,,,,-453000000.0,-83000000.0,619000000.0,83000000.0,,,,94000000.0,20000000.0,-141000000.0,,-103000000.0,-90000000.0,-348000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q1,2010-01-01,2010-03-31,2010-04-28 10:51:01+00:00,,-111000000.0,-126000000.0,,,,70000000.0,2000000.0,-648000000.0,-135000000.0,-531000000.0,,,,-648000000.0,-135000000.0,-531000000.0,-1314000000.0,,,,-84000000.0,0.0,-129000000.0,,-135000000.0,,-507000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2010.0,Q1TTM,2009-04-01,2010-03-31,,,736000000.0,229000000.0,,1650000000.0,,113000000.0,845000000.0,-1603000000.0,1091000000.0,-531000000.0,,-184000000.0,,-1603000000.0,907000000.0,1774000000.0,1078000000.0,,,2305000000.0,-82000000.0,-113000000.0,-537000000.0,,-446000000.0,-485000000.0,-1457000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2011.0,Q4,2011-10-01,2011-12-31,,,19000000.0,227000000.0,,,0.0,-97000000.0,-3000000.0,-856000000.0,-409000000.0,,,,,-856000000.0,-409000000.0,1321000000.0,56000000.0,,,0.0,94000000.0,9000000.0,-129000000.0,-450000000.0,-168000000.0,-24000000.0,-697000000.0,200000000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2011.0,FY,2011-01-01,2011-12-31,2013-02-04 17:42:40+00:00,,810000000.0,227000000.0,,,,,0.0,-3494000000.0,743000000.0,,0.0,-63000000.0,,-3494000000.0,680000000.0,2115000000.0,-699000000.0,,,,118000000.0,1485000000.0,-543000000.0,-450000000.0,-492000000.0,-774000000.0,-2295000000.0,200000000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2011.0,Q3YTD,2011-01-01,2011-09-30,2011-10-26 12:01:09+00:00,,791000000.0,,,,572000000.0,97000000.0,3000000.0,-2638000000.0,1152000000.0,1026000000.0,,-63000000.0,-232000000.0,-2638000000.0,1089000000.0,794000000.0,-755000000.0,,,454000000.0,24000000.0,1476000000.0,-414000000.0,,-324000000.0,-750000000.0,-1598000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2011.0,Q3TTM,2010-10-01,2011-09-30,,,929000000.0,269000000.0,,,0.0,-15000000.0,1484000000.0,-2293000000.0,962000000.0,,-179000000.0,-252000000.0,,-2472000000.0,710000000.0,2181000000.0,419000000.0,,,0.0,176000000.0,1475000000.0,-551000000.0,-2000000.0,-511000000.0,-1672000000.0,-1715000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2011.0,Q3,2011-07-01,2011-09-30,,,178000000.0,,,,22000000.0,11000000.0,-3000000.0,-711000000.0,-101000000.0,948000000.0,,,,-711000000.0,-101000000.0,948000000.0,136000000.0,,,926000000.0,3000000.0,7000000.0,-137000000.0,,-108000000.0,,-585000000.0,
