company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalinterestexpense,longtermdebtinterestexpense,Long-Term Debt Interest Expense,+,debit,usd,21367000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,netinterestincome,totalinterestexpense,Total Interest Expense,-,debit,usd,21367000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalrevenue,netinterestincome,Net Interest Income / (Expense),+,credit,usd,-21367000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalnoninterestincome,othernoninterestincome,Other Non-Interest Income,+,credit,usd,81301000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalrevenue,totalnoninterestincome,Total Non-Interest Income,+,credit,usd,81301000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalpretaxincome,totalrevenue,Total Revenue,+,credit,usd,59934000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalnoninterestexpense,netoccupancyequipmentexpense,Net Occupancy & Equipment Expense,+,debit,usd,1786000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalnoninterestexpense,otheroperatingexpenses,Other Operating Expenses,+,debit,usd,5006000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalnoninterestexpense,depreciationexpense,Depreciation Expense,+,debit,usd,22782000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,totalpretaxincome,totalnoninterestexpense,Total Non-Interest Expense,-,debit,usd,29574000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,30360000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,308000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,30052000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,netincome,netincomediscontinued,Net Income / (Loss) Discontinued Operations,+,credit,usd,2508000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,32560000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,netincometocommon,preferreddividends,Preferred Stock Dividends Declared,-,debit,usd,6063000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,26497000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,basiceps,weightedavebasicsharesos,Weighted Average Basic Shares Outstanding,/,,shares,103446949.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,,basiceps,Basic Earnings per Share,=,,usdpershare,0.26
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,dilutedeps,weightedavedilutedsharesos,Weighted Average Diluted Shares Outstanding,/,,shares,103450457.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,,dilutedeps,Diluted Earnings per Share,=,,usdpershare,0.26
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalinterestexpense,longtermdebtinterestexpense,Long-Term Debt Interest Expense,+,debit,usd,21374000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,netinterestincome,totalinterestexpense,Total Interest Expense,-,debit,usd,21374000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalrevenue,netinterestincome,Net Interest Income / (Expense),+,credit,usd,-21374000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalnoninterestincome,othernoninterestincome,Other Non-Interest Income,+,credit,usd,81463000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalrevenue,totalnoninterestincome,Total Non-Interest Income,+,credit,usd,81463000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalpretaxincome,totalrevenue,Total Revenue,+,credit,usd,60089000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalnoninterestexpense,netoccupancyequipmentexpense,Net Occupancy & Equipment Expense,+,debit,usd,1472000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalnoninterestexpense,otheroperatingexpenses,Other Operating Expenses,+,debit,usd,4906000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalnoninterestexpense,depreciationexpense,Depreciation Expense,+,debit,usd,22680000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,totalpretaxincome,totalnoninterestexpense,Total Non-Interest Expense,-,debit,usd,29058000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,31031000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,74000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,30957000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,netincome,netincomediscontinued,Net Income / (Loss) Discontinued Operations,+,credit,usd,2195000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,33152000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,netincometocommon,preferreddividends,Preferred Stock Dividends Declared,-,debit,usd,6063000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,27089000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,basiceps,weightedavebasicsharesos,Weighted Average Basic Shares Outstanding,/,,shares,103470512.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,,basiceps,Basic Earnings per Share,=,,usdpershare,0.26
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,dilutedeps,weightedavedilutedsharesos,Weighted Average Diluted Shares Outstanding,/,,shares,103481892.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,,dilutedeps,Diluted Earnings per Share,=,,usdpershare,0.26
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalinterestexpense,longtermdebtinterestexpense,Long-Term Debt Interest Expense,+,debit,usd,21395000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,netinterestincome,totalinterestexpense,Total Interest Expense,-,debit,usd,21395000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalrevenue,netinterestincome,Net Interest Income / (Expense),+,credit,usd,-21395000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalnoninterestincome,othernoninterestincome,Other Non-Interest Income,+,credit,usd,82618000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalrevenue,totalnoninterestincome,Total Non-Interest Income,+,credit,usd,82618000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalpretaxincome,totalrevenue,Total Revenue,+,credit,usd,61223000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalnoninterestexpense,netoccupancyequipmentexpense,Net Occupancy & Equipment Expense,+,debit,usd,1971000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalnoninterestexpense,otheroperatingexpenses,Other Operating Expenses,+,debit,usd,6711000.0
Realty Income Corp,O,549300CUWDAUZSH43859,0000726728,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 17:27:49+00:00,totalnoninterestexpense,depreciationexpense,Depreciation Expense,+,debit,usd,23041000.0
