company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,398204000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,46253000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,38600000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,22753000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalcurrentassets,othercurrentassets,Other Current Assets,+,debit,usd,91692000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,597502000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,1908499000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalnoncurrentassets,longterminvestments,Long-Term Investments,+,debit,usd,38086000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,1377286000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,402254000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,117054000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalnoncurrentassets,othernoncurrentnonoperatingassets,Other Noncurrent Nonoperating Assets,+,debit,usd,33805000.0
Penn National Gaming Inc,PENN,,0000921738,2010.0,Q2,,2010-06-30,2010-08-09 11:43:58+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,1968485000.0
