company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,6314000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,6314000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,748000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,25000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-1537000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,5550000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,5550000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-1072000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuinginvestingactivities,acquisitions,Acquisitions,+,debit,usd,-1519000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuinginvestingactivities,divestitures,Divestitures,+,debit,usd,87000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-82000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-2586000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-2586000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-3726000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingfinancingactivities,repurchaseofcommonequity,Repurchase of Common Equity,+,debit,usd,0.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-6560000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,0001413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,6322000000.0
