company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 14:09:01+00:00,888000000.0,2145000000.0,463000000.0,5058000000.0,679000000.0,10371000000.0,8136000000.0,6476000000.0,-12986000000.0,7414000000.0,6476000000.0,-12986000000.0,7414000000.0,904000000.0,3784000000.0,914000000.0,914000000.0,1301000000.0,-538000000.0,-8068000000.0,,,-923000000.0,1517000000.0,-31748000000.0,-7269000000.0,-234000000.0,0.0,17461000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2008.0,Q4,2008-10-01,2008-12-31,,220000000.0,205000000.0,119000000.0,6010000000.0,388000000.0,3206000000.0,7644000000.0,5771000000.0,-6370000000.0,2010000000.0,5771000000.0,-6370000000.0,2010000000.0,1411000000.0,4244000000.0,-246000000.0,-246000000.0,170000000.0,-4863000000.0,-4305000000.0,2261000000.0,,-250000000.0,990000000.0,-25593000000.0,-5121000000.0,-35000000.0,,16792000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2008.0,Q3,2008-07-01,2008-09-30,,395000000.0,615000000.0,115000000.0,-1936000000.0,177000000.0,1031000000.0,,-254000000.0,-3512000000.0,3301000000.0,-254000000.0,-3512000000.0,3301000000.0,-465000000.0,296000000.0,259000000.0,259000000.0,1196000000.0,4673000000.0,-1429000000.0,-2610000000.0,,-229000000.0,190000000.0,-2106000000.0,18000000.0,-118000000.0,,8000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q4,2009-10-01,2009-12-31,,-664000000.0,-2526000000.0,-747000000.0,2354000000.0,-798000000.0,-4106000000.0,,15912000000.0,-12338000000.0,-2529000000.0,15912000000.0,-12338000000.0,-2529000000.0,1045000000.0,4953000000.0,-1296000000.0,-1296000000.0,589000000.0,41000000.0,1176000000.0,,,653000000.0,-2881000000.0,30495000000.0,13910000000.0,124000000.0,,-43422000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 08:50:15+00:00,664000000.0,2526000000.0,747000000.0,-2354000000.0,798000000.0,4106000000.0,,-15912000000.0,12338000000.0,2529000000.0,-15912000000.0,12338000000.0,2529000000.0,-1045000000.0,-4953000000.0,1296000000.0,1296000000.0,-589000000.0,-41000000.0,-1176000000.0,,,-653000000.0,2881000000.0,-30495000000.0,-13910000000.0,-124000000.0,0.0,43422000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q3TTM,2008-10-01,2009-09-30,,884000000.0,2731000000.0,866000000.0,3656000000.0,1186000000.0,7312000000.0,7644000000.0,-10141000000.0,5968000000.0,4539000000.0,-10141000000.0,5968000000.0,4539000000.0,366000000.0,-709000000.0,1050000000.0,1050000000.0,-419000000.0,-4904000000.0,-5481000000.0,2261000000.0,,-903000000.0,3871000000.0,-56088000000.0,-19031000000.0,-159000000.0,,60214000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q3,2009-07-01,2009-09-30,,592000000.0,710000000.0,242000000.0,-387000000.0,53000000.0,556000000.0,,-6174000000.0,4624000000.0,1179000000.0,-6174000000.0,4624000000.0,1179000000.0,-371000000.0,-2528000000.0,559000000.0,559000000.0,-606000000.0,-149000000.0,77000000.0,-4560000000.0,,-145000000.0,914000000.0,-13944000000.0,-4145000000.0,-42000000.0,,23734000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 12:24:32+00:00,72000000.0,1816000000.0,505000000.0,-1967000000.0,745000000.0,3550000000.0,,-9738000000.0,7714000000.0,1350000000.0,-9738000000.0,7714000000.0,1350000000.0,-674000000.0,-2425000000.0,737000000.0,737000000.0,17000000.0,108000000.0,-1253000000.0,4560000000.0,,-508000000.0,1967000000.0,-16551000000.0,-9765000000.0,-82000000.0,0.0,19688000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q2TTM,2008-07-01,2009-06-30,,687000000.0,2636000000.0,739000000.0,2107000000.0,1310000000.0,7787000000.0,7644000000.0,-4221000000.0,-2168000000.0,6661000000.0,-4221000000.0,-2168000000.0,6661000000.0,272000000.0,2115000000.0,750000000.0,750000000.0,1383000000.0,-82000000.0,-6987000000.0,4211000000.0,,-987000000.0,3147000000.0,-44250000000.0,-14868000000.0,-235000000.0,,36488000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q2,2009-04-01,2009-06-30,,44000000.0,833000000.0,247000000.0,-952000000.0,675000000.0,2528000000.0,,-7151000000.0,6892000000.0,480000000.0,-7151000000.0,6892000000.0,480000000.0,221000000.0,-4196000000.0,207000000.0,207000000.0,-278000000.0,-109000000.0,-868000000.0,4560000000.0,,-164000000.0,1087000000.0,-9988000000.0,-5079000000.0,-47000000.0,,12598000000.0
