company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-171000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-171000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,165000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments to Reconcile Net Income,+,debit,usd,1122000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,1594000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,2710000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,2710000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investment Securities,+,debit,usd,-40693000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,34973000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,0001137774,2008.0,Q3,2008-07-01,2008-09-30,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-423000000.0
