company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,1673000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,1673000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,1629000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,1176000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-2114000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,2364000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,2364000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-323000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-59000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-382000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-382000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-72000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-657000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,-165000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-894000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-894000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,netchangeincash,effectofexchangeratechanges,Effect of Exchange Rate Changes,+,debit,usd,883000.0
QAD Inc,QADB,,0001036188,2011.0,Q3,2010-08-01,2010-10-31,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,1971000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,1943000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,1943000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,0.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,7902000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,0.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,9845000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,9845000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-428000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-186000.0
QAD Inc,QADB,,0001036188,2011.0,Q4,2010-11-01,2011-01-31,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-614000.0
