company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,178000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,116902000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,15343000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,132423000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,197769000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentassets,longterminvestments,Long-Term Investments,+,debit,usd,17935000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,149711000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,56110000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,2887000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentassets,othernoncurrentnonoperatingassets,Other Noncurrent Nonoperating Assets,+,debit,usd,14236000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,240879000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,,totalassets,Total Assets,=,debit,usd,571071000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,12732000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,94586000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcurrentliabilities,currentdeferredrevenue,Current Deferred Revenue,+,credit,usd,2256000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcurrentliabilities,othercurrentliabilities,Other Current Liabilities,+,credit,usd,2357000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,111931000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentliabilities,longtermdebt,Long-Term Debt,+,credit,usd,504675000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentliabilities,capitalleaseobligations,Capital Lease Obligations,+,credit,usd,3897000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentliabilities,noncurrentdeferredrevenue,Noncurrent Deferred Revenue,+,credit,usd,11516000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentliabilities,noncurrentdeferredtaxliabilities,Noncurrent Deferred & Payable Income Tax Liabilities,+,credit,usd,277000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,15842000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,536207000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,648138000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalliabilitiesandequity,commitmentsandcontingencies,Commitments & Contingencies,+,credit,usd,0.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,164480000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,-240196000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-1490000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,-77206000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,-77206000.0
RadNet Inc,RDNT,,0000790526,2011.0,Q2,,2011-06-30,2011-08-09 13:34:10+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,139000.0
