company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,41962000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,41962000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,12374000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,12374000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,29588000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,8167000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totaloperatingexpenses,marketingexpense,Marketing Expense,+,debit,usd,12892000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totaloperatingexpenses,rdexpense,Research & Development Expense,+,debit,usd,6088000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totaloperatingexpenses,amortizationexpense,Amortization Expense,+,debit,usd,658000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,27805000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,1783000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,28000.0
Comscore Inc,SCOR,,0001158172,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:08:40+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,28000.0
