company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,59367000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,42534000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,42484000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,26691000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,6265000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,177341000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,netppe,grossppe,"Plant, Property & Equipment, gross",+,debit,usd,2380008000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,netppe,accumulateddepreciation,Accumulated Depreciation,-,credit,usd,606462000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,1773546000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,335610000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,194648000.0
SeaWorld Entertainment Inc,SEAS,549300UZV72O3371JJ53,0001564902,2013.0,Q1,,2013-03-31,2013-05-23 16:04:00+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,42661000.0
