company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,430112000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,430112000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,299381000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,299381000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,130731000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,111580000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totaloperatingexpenses,restructuringcharge,Restructuring Charge,+,debit,usd,1156000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totaloperatingexpenses,otherspecialcharges,Other Special Charges / (Income),+,debit,usd,343000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,113079000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,17652000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,8365000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,44000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,-8321000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,9331000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,4025000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,5306000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,5306000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,5306000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,basiceps,weightedavebasicsharesos,Weighted Average Basic Shares Outstanding,/,,shares,115964000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,,basiceps,Basic Earnings per Share,=,,usdpershare,0.05
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,dilutedeps,weightedavedilutedsharesos,Weighted Average Diluted Shares Outstanding,/,,shares,117525000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,,dilutedeps,Diluted Earnings per Share,=,,usdpershare,0.05
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,basicdilutedeps,weightedavebasicdilutedsharesos,Weighted Average Basic & Diluted Shares Outstanding,/,,shares,106100000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q2,2012-04-02,2012-07-01,2013-08-23 06:10:27+00:00,,basicdilutedeps,Basic & Diluted Earnings per Share,=,,usdpershare,0.05
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,510050000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,510050000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,363641000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,363641000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,146409000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,129625000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totaloperatingexpenses,restructuringcharge,Restructuring Charge,+,debit,usd,2273000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totaloperatingexpenses,otherspecialcharges,Other Special Charges / (Income),+,debit,usd,1216000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,133114000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,13295000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,10943000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,133000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,-10810000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,2485000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,1178000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,1307000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,1307000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,1307000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,basiceps,weightedavebasicsharesos,Weighted Average Basic Shares Outstanding,/,,shares,125794000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,,basiceps,Basic Earnings per Share,=,,usdpershare,0.01
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,dilutedeps,weightedavedilutedsharesos,Weighted Average Diluted Shares Outstanding,/,,shares,127820000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,,dilutedeps,Diluted Earnings per Share,=,,usdpershare,0.01
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,basicdilutedeps,weightedavebasicdilutedsharesos,Weighted Average Basic & Diluted Shares Outstanding,/,,shares,130700000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2012.0,Q3,2012-07-02,2012-09-30,2013-11-07 16:17:20+00:00,,basicdilutedeps,Basic & Diluted Earnings per Share,=,,usdpershare,0.01
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,573694000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,573694000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,399774000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,399774000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,173920000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,131385000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totaloperatingexpenses,restructuringcharge,Restructuring Charge,+,debit,usd,775000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totaloperatingexpenses,otherspecialcharges,Other Special Charges / (Income),+,debit,usd,1714000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,133874000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,40046000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,10165000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,133000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,-10032000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,30014000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,11897000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,18117000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,18117000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,18117000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,basiceps,weightedavebasicsharesos,Weighted Average Basic Shares Outstanding,/,,shares,125969000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,,basiceps,Basic Earnings per Share,=,,usdpershare,0.14
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,dilutedeps,weightedavedilutedsharesos,Weighted Average Diluted Shares Outstanding,/,,shares,129184000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,,dilutedeps,Diluted Earnings per Share,=,,usdpershare,0.14
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,basicdilutedeps,weightedavebasicdilutedsharesos,Weighted Average Basic & Diluted Shares Outstanding,/,,shares,129400000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q1,2012-12-31,2013-03-31,2014-05-07 16:33:55+00:00,,basicdilutedeps,Basic & Diluted Earnings per Share,=,,usdpershare,0.14
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,622367000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,622367000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,435340000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,435340000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,187027000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,143713000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totaloperatingexpenses,restructuringcharge,Restructuring Charge,+,debit,usd,933000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totaloperatingexpenses,otherspecialcharges,Other Special Charges / (Income),+,debit,usd,2303000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,146949000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,40078000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,19566000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,111000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,-19455000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,20623000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,8155000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,12468000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,12468000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,12468000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,basiceps,weightedavebasicsharesos,Weighted Average Basic Shares Outstanding,/,,shares,125958000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,,basiceps,Basic Earnings per Share,=,,usdpershare,0.1
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,dilutedeps,weightedavedilutedsharesos,Weighted Average Diluted Shares Outstanding,/,,shares,129716000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,,dilutedeps,Diluted Earnings per Share,=,,usdpershare,0.1
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,basicdilutedeps,weightedavebasicdilutedsharesos,Weighted Average Basic & Diluted Shares Outstanding,/,,shares,124700000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 16:32:27+00:00,,basicdilutedeps,Basic & Diluted Earnings per Share,=,,usdpershare,0.1
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q3,2013-07-01,2013-09-29,2014-11-06 16:32:20+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,633614000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q3,2013-07-01,2013-09-29,2014-11-06 16:32:20+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,633614000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q3,2013-07-01,2013-09-29,2014-11-06 16:32:20+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,443509000.0
Sprouts Farmers Market Inc,SFM,,0001575515,2013.0,Q3,2013-07-01,2013-09-29,2014-11-06 16:32:20+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,443509000.0
