company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2008.0,FY,2007-12-30,2009-01-03,2011-02-17 11:07:55+00:00,-14100000.0,24100000.0,79900000.0,32000000.0,47900000.0,,-3100000.0,-101800000.0,41700000.0,0.0,-108400000.0,-86100000.0,220400000.0,-108400000.0,-86100000.0,220400000.0,22800000.0,243600000.0,243600000.0,6600000.0,5700000.0,-8600000.0,,-69700000.0,-73900000.0,-16300000.0,-69800000.0,0.0,10500000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2009.0,FY,2009-01-04,2010-01-02,2012-02-16 09:34:58+00:00,-8100000.0,24700000.0,55300000.0,36400000.0,49900000.0,,2600000.0,125200000.0,4500000.0,547600000.0,475600000.0,-241700000.0,347100000.0,475600000.0,-241700000.0,347100000.0,583600000.0,143700000.0,143700000.0,3600000.0,,-252500000.0,,-69000000.0,-64400000.0,-7500000.0,,82000000.0,1300000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2009.0,Q4,2009-10-04,2010-01-02,,,6300000.0,15300000.0,1300000.0,12900000.0,,200000.0,38300000.0,400000.0,-2400000.0,-21400000.0,-85100000.0,96700000.0,-21400000.0,-85100000.0,96700000.0,-9600000.0,38100000.0,38100000.0,1100000.0,,-118300000.0,,-17200000.0,-16100000.0,-2200000.0,,48300000.0,1000000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2009.0,Q3YTD,2009-01-04,2009-10-03,2010-10-22 11:16:27+00:00,-8100000.0,18400000.0,40000000.0,35100000.0,37000000.0,,2400000.0,86900000.0,4100000.0,550000000.0,497000000.0,-156600000.0,250400000.0,497000000.0,-156600000.0,250400000.0,593200000.0,105600000.0,105600000.0,2500000.0,0.0,-134200000.0,,-51800000.0,-48300000.0,-5300000.0,,33700000.0,300000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2009.0,Q2YTD,2009-01-04,2009-07-04,2010-07-28 15:25:01+00:00,,12300000.0,23400000.0,13900000.0,24800000.0,,1100000.0,57800000.0,3400000.0,301900000.0,267500000.0,-30300000.0,169500000.0,267500000.0,-30300000.0,170300000.0,408600000.0,79200000.0,79200000.0,-4600000.0,,3200000.0,,-34400000.0,-33600000.0,-3400000.0,,,100000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q4,2010-10-03,2011-01-01,,,6100000.0,-211900000.0,800000.0,12100000.0,,300000.0,-25000000.0,7400000.0,250300000.0,224600000.0,-76900000.0,64300000.0,224600000.0,-76900000.0,64300000.0,212300000.0,59800000.0,59800000.0,11300000.0,900000.0,-122800000.0,,-18700000.0,-28300000.0,-6600000.0,-8700000.0,74100000.0,100000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,FY,2010-01-03,2011-01-01,2013-02-14 10:49:32+00:00,-7700000.0,24000000.0,-118300000.0,55400000.0,48700000.0,,600000.0,-172900000.0,23700000.0,269500000.0,34800000.0,-303000000.0,140400000.0,34800000.0,-303000000.0,140400000.0,-127200000.0,193000000.0,193000000.0,47600000.0,1500000.0,-497300000.0,,-71300000.0,-51100000.0,-179900000.0,-8700000.0,245200000.0,7900000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q3TTM,2009-10-04,2010-10-02,,-7700000.0,24200000.0,108900000.0,55900000.0,49500000.0,,500000.0,-109600000.0,16700000.0,16800000.0,-211200000.0,-311200000.0,172800000.0,-211200000.0,-311200000.0,172800000.0,-349100000.0,171300000.0,171300000.0,37400000.0,600000.0,-492800000.0,,-69800000.0,-38900000.0,-175500000.0,,219400000.0,8800000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q3,2010-07-04,2010-10-02,,,6100000.0,40900000.0,25900000.0,11900000.0,,1900000.0,-66700000.0,3300000.0,8500000.0,-13100000.0,-69900000.0,10200000.0,-13100000.0,-69900000.0,10200000.0,-70900000.0,48300000.0,48300000.0,10600000.0,400000.0,-128200000.0,,-17600000.0,-10500000.0,-7700000.0,,62800000.0,6000000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q3YTD,2010-01-03,2010-10-02,2011-10-20 14:28:23+00:00,-7700000.0,17900000.0,93600000.0,54600000.0,36600000.0,,300000.0,-147900000.0,16300000.0,19200000.0,-189800000.0,-226100000.0,76100000.0,-189800000.0,-226100000.0,76100000.0,-339500000.0,133200000.0,133200000.0,36300000.0,600000.0,-374500000.0,,-52600000.0,-22800000.0,-173300000.0,,171100000.0,7800000.0
