company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,1782000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,1782000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,1486000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,35000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,131000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,3434000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,3434000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-3546000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-940000000.0
Southern Co,SO,549300FC3G3YU2FBZD92,0000092122,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:38:34+00:00,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,33000000.0
