company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,8342000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,8342000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,10666000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,1049000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,3682000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-4295000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,19444000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,19444000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-3158000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,8961000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,224000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,6027000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,6027000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-16344000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-1818000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,1531000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,254000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,63000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-16314000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-16314000.0
Sonic Corp,SONC,,0000868611,2010.0,Q1,2009-09-01,2009-11-30,2011-01-07 17:10:36+00:00,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,9157000.0
Sonic Corp,SONC,,0000868611,2010.0,Q2,2009-12-01,2010-02-28,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,396000.0
Sonic Corp,SONC,,0000868611,2010.0,Q2,2009-12-01,2010-02-28,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,396000.0
Sonic Corp,SONC,,0000868611,2010.0,Q2,2009-12-01,2010-02-28,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,10647000.0
Sonic Corp,SONC,,0000868611,2010.0,Q2,2009-12-01,2010-02-28,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,1027000.0
Sonic Corp,SONC,,0000868611,2010.0,Q2,2009-12-01,2010-02-28,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-3583000.0
Sonic Corp,SONC,,0000868611,2010.0,Q2,2009-12-01,2010-02-28,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-9670000.0
Sonic Corp,SONC,,0000868611,2010.0,Q2,2009-12-01,2010-02-28,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-1183000.0
