company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,10758000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,10758000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,5997000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totalcostofrevenue,othercostofrevenue,Other Cost of Revenue,+,debit,usd,312000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,6309000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,4449000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,2419000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totaloperatingexpenses,depreciationexpense,Depreciation Expense,+,debit,usd,687000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totaloperatingexpenses,otherspecialcharges,Other Special Charges / (Income),+,debit,usd,3000000.0
Sempra Energy,SRE,PBBKGKLRK5S5C0Y4T545,0001032208,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:04:40+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,3109000000.0
