company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,805875000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,805875000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,692474000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,692474000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,113401000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,96966000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totaloperatingexpenses,otherspecialcharges,Other Special Charges / (Income),+,debit,usd,343000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,97309000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,16092000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,407000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalotherincome,totalinterestincome,Interest & Investment Income,+,credit,usd,191000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,-858000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,-1074000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,15018000.0
Systemax Inc,SYX,,0000945114,2010.0,Q2,2010-04-01,2010-06-30,2011-08-12 12:36:12+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,5568000.0
