company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,140927000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,115822000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,8060000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,9134000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,273943000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,55965000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,36960000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,21879000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,6629000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,19619000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalnoncurrentassets,othernoncurrentnonoperatingassets,Other Noncurrent Nonoperating Assets,+,debit,usd,114464000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,199551000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,,totalassets,Total Assets,=,debit,usd,529459000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,17623000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcurrentliabilities,currentemployeebenefitliabilities,Current Employee Benefit Liabilities,+,credit,usd,68984000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcurrentliabilities,othercurrentliabilities,Other Current Liabilities,+,credit,usd,400000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,87007000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalnoncurrentliabilities,noncurrentemployeebenefitliabilities,Noncurrent Employee Benefit Liabilities,+,credit,usd,145236000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,3025000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,148261000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,235268000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,1000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,292012000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,2178000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,294191000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,294191000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,294191000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q2,,2010-06-25,2010-07-30 15:28:55+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,529459000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,138981000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,133775000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,8601000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,5265000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,286622000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,55534000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,36960000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,21203000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,7476000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,19454000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalnoncurrentassets,othernoncurrentnonoperatingassets,Other Noncurrent Nonoperating Assets,+,debit,usd,117654000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,202747000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,,totalassets,Total Assets,=,debit,usd,544903000.0
TrueBlue Inc,TBI,,0000768899,2010.0,Q3,,2010-09-24,2010-10-29 14:44:17+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,19518000.0
