company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-4689000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-4689000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,116000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,22000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,69000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-1088000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-5570000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-5570000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-2000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-2000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-2000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-212000.0
Tetraphase Pharmaceuticals Inc,TTPH,,0001373707,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 16:07:35+00:00,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,5000.0
