company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-7246000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-7246000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,787000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,2550000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-2565000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-6474000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-6474000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-7009000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-7009000.0
Unilife Corp,UNIS,,0001476170,2011.0,Q1,2010-07-01,2010-09-30,2011-11-09 17:12:37+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-7009000.0
