company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,131167000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,245418000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,1094466000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,57623000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentassets,othercurrentassets,Other Current Assets,+,debit,usd,80031000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,1608705000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,netppe,grossppe,"Plant, Property & Equipment, gross",+,debit,usd,778529000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,netppe,accumulateddepreciation,Accumulated Depreciation,-,credit,usd,462266000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,316263000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentassets,longterminvestments,Long-Term Investments,+,debit,usd,112781000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,106030000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,20393000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,91297000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,330501000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,,totalassets,Total Assets,=,debit,usd,2255469000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,250625000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,281436000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentliabilities,currentdeferredrevenue,Current Deferred Revenue,+,credit,usd,57288000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentliabilities,currentdeferredtaxliabilities,Current Deferred & Payable Income Tax Liabilities,+,credit,usd,8839000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcurrentliabilities,currentemployeebenefitliabilities,Current Employee Benefit Liabilities,+,credit,usd,20818000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,619006000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentliabilities,longtermdebt,Long-Term Debt,+,credit,usd,329596000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentliabilities,noncurrentdeferredtaxliabilities,Noncurrent Deferred & Payable Income Tax Liabilities,+,credit,usd,51226000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentliabilities,noncurrentemployeebenefitliabilities,Noncurrent Employee Benefit Liabilities,+,credit,usd,94219000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,81639000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,556680000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,1175686000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,195437000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,712684000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-45207000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalcommonequity,otherequity,Other Equity Adjustments,+,credit,usd,213023000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,1075937000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,1075937000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,3846000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,1079783000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q1,,2009-06-30,2010-08-04 16:17:23+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,2255469000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,61991000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,333184000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,1075050000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,72047000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentassets,othercurrentassets,Other Current Assets,+,debit,usd,74236000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,1616508000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,netppe,grossppe,"Plant, Property & Equipment, gross",+,debit,usd,799164000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,netppe,accumulateddepreciation,Accumulated Depreciation,-,credit,usd,476256000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,322908000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalnoncurrentassets,longterminvestments,Long-Term Investments,+,debit,usd,120608000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,106036000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalnoncurrentassets,noncurrentdeferredtaxassets,Noncurrent Deferred & Refundable Income Taxes,+,debit,usd,15080000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,115342000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,357066000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,,totalassets,Total Assets,=,debit,usd,2296482000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,301376000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,221717000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentliabilities,currentdeferredrevenue,Current Deferred Revenue,+,credit,usd,70089000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentliabilities,currentdeferredtaxliabilities,Current Deferred & Payable Income Tax Liabilities,+,credit,usd,11574000.0
Universal Corp,UVV,549300BZXZ66F6DTIF20,0000102037,2010.0,Q2,,2009-09-30,2010-11-05 10:10:48+00:00,totalcurrentliabilities,currentemployeebenefitliabilities,Current Employee Benefit Liabilities,+,credit,usd,22581000.0
