company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2008.0,FY,,2008-09-26,2009-11-25 15:29:43+00:00,105281000.0,486310000.0,304056000.0,-18228000.0,397306000.0,,593974000.0,343151000.0,130988000.0,209146000.0,,32399000.0,282980000.0,218183000.0,,,18799000.0,21202000.0,150694000.0,134251000.0,3088000.0,,78018000.0,,,451439000.0,7987000.0,,1975512000.0,1027185000.0,1394401000.0,781677000.0,1027185000.0,1027185000.0,948327000.0,1975512000.0,362928000.0,166650000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,FY,,2009-10-02,2011-05-05 14:11:12+00:00,116093000.0,580918000.0,355225000.0,-26385000.0,553529000.0,,641759000.0,357552000.0,144392000.0,210346000.0,,23394000.0,321861000.0,264060000.0,,,,,161391000.0,130751000.0,,,71751000.0,,,696409000.0,13450000.0,,2308248000.0,1311783000.0,1672451000.0,842320000.0,1311783000.0,1311783000.0,996465000.0,2308248000.0,371737000.0,154145000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q3,,2009-07-03,2009-08-11 13:44:24+00:00,88259000.0,469523000.0,286554000.0,-18794000.0,471721000.0,0.0,627118000.0,373669000.0,130941000.0,207687000.0,,23459000.0,358151000.0,260297000.0,,,0.0,0.0,166077000.0,117561000.0,0.0,,60544000.0,,2629000.0,620743000.0,9001000.0,,2127570000.0,1229067000.0,1493509000.0,757483000.0,1229067000.0,1229067000.0,898503000.0,2127570000.0,373764000.0,141020000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2010.0,FY,,2010-10-01,2011-11-23 17:03:27+00:00,119018000.0,591677000.0,341084000.0,-37604000.0,520221000.0,0.0,626373000.0,417914000.0,118246000.0,208451000.0,,17869000.0,363933000.0,267927000.0,,,,,166230000.0,127175000.0,,,87267000.0,,,686598000.0,25525000.0,0.0,2323952000.0,1275367000.0,1681344000.0,903541000.0,1275367000.0,1275367000.0,1048585000.0,2323952000.0,374681000.0,145044000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2010.0,Q3,,2010-07-02,2010-08-10 13:13:21+00:00,105823000.0,514939000.0,277337000.0,-40069000.0,587611000.0,,654988000.0,406535000.0,108274000.0,203288000.0,,17939000.0,390188000.0,261361000.0,,,,,156318000.0,118395000.0,,,96916000.0,,,772427000.0,5520000.0,,2318895000.0,1387346000.0,1697928000.0,795215000.0,1387346000.0,1387346000.0,931549000.0,2318895000.0,359606000.0,136334000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2010.0,Q2,,2010-04-02,2010-05-11 15:48:33+00:00,111610000.0,497320000.0,302462000.0,-32020000.0,654727000.0,,652004000.0,397417000.0,108068000.0,207146000.0,,23259000.0,371496000.0,258479000.0,,,,,154664000.0,115100000.0,,,97989000.0,,,773542000.0,6515000.0,,2349889000.0,1393526000.0,1729600000.0,818004000.0,1393526000.0,1393526000.0,956363000.0,2349889000.0,361810000.0,138359000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2010.0,Q1,,2010-01-01,2010-02-09 14:31:11+00:00,103450000.0,507411000.0,326155000.0,-26974000.0,625495000.0,,645565000.0,408657000.0,143993000.0,210563000.0,,23327000.0,350845000.0,258432000.0,,,,,165721000.0,128874000.0,,,95534000.0,,,735634000.0,13306000.0,,2357994000.0,1354225000.0,1723278000.0,851568000.0,1354225000.0,1354225000.0,1003769000.0,2357994000.0,376284000.0,152201000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2011.0,FY,,2011-09-30,2012-11-21 16:22:06+00:00,154946000.0,635153000.0,340137000.0,-46848000.0,564457000.0,0.0,613266000.0,439553000.0,113965000.0,212452000.0,,6250000.0,409962000.0,285894000.0,,,,,145798000.0,122708000.0,,,111875000.0,,,677473000.0,191276000.0,19205000.0,2498761000.0,1243891000.0,1854617000.0,1125912000.0,1243891000.0,1243891000.0,1254870000.0,2498761000.0,358250000.0,128958000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2011.0,Q3,,2011-07-01,2011-08-10 16:15:24+00:00,119836000.0,581862000.0,352360000.0,-28238000.0,567922000.0,0.0,713475000.0,447960000.0,118225000.0,216063000.0,,6250000.0,438483000.0,283185000.0,,,,,176579000.0,121137000.0,,,130960000.0,,,768810000.0,11689000.0,,2513279000.0,1454047000.0,1837452000.0,931845000.0,1454047000.0,1454047000.0,1059232000.0,2513279000.0,392642000.0,127387000.0,0.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2011.0,Q2,,2011-04-01,2011-05-11 14:47:59+00:00,122920000.0,564147000.0,318024000.0,-31881000.0,584389000.0,,645826000.0,447756000.0,118043000.0,214731000.0,,12500000.0,422467000.0,281823000.0,,,,,166922000.0,122545000.0,,,117048000.0,,,701778000.0,130102000.0,,2469570000.0,1315723000.0,1806094000.0,1018802000.0,1315723000.0,1315723000.0,1153847000.0,2469570000.0,381653000.0,135045000.0,0.0
