company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,280578000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,280578000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingoperatingactivities,provisionforloanlosses,Provision For Loan Losses,+,debit,usd,0.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,235045000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,-3925000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments to Reconcile Net Income,+,debit,usd,-149817000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,42719000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,404600000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,404600000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Leasehold Improvements and Equipment",+,debit,usd,-13353000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investment Securities,+,debit,usd,-1348354000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,181350000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-1180357000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-1175192000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,1460418000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,1045713000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-1418913000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-286188000.0
Ventas Inc,VTR,ORQTRC074CWLT3DKHT41,0000740260,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:32:37+00:00,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, Net",+,debit,usd,1645000.0
