company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-24374000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-24374000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,868000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,-704000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,4471000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,2659000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-17080000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-17039000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-442000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-69084000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,42530000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-82000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-27078000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-27078000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,51388000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,51388000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,51388000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q3,2009-07-01,2009-09-30,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,7271000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-18348000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-18348000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,922000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,2143000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,6223000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-3273000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-12333000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-12374000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-437000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-63475000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,93040000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-5000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,29123000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,29123000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,708000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,708000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,708000.0
Xenoport Inc ,XNPT,,0001130591,2009.0,Q4,2009-10-01,2009-12-31,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,17457000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-28225000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-28225000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,-1349000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,446000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,4545000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,5448000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-19135000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-19135000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-450000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-27874000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,23893000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-5000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-4436000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-4436000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromcontinuingfinancingactivities,repurchaseofcommonequity,Repurchase of Common Equity,+,debit,usd,-369000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-369000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-369000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 14:04:40+00:00,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,-23940000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-19522000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-19522000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,3652000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,320000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,6717000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-9654000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-18487000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-18487000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-64000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-36679000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,56145000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-4000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,19398000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,19398000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuingfinancingactivities,repurchaseofcommonequity,Repurchase of Common Equity,+,debit,usd,369000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,274000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,643000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,643000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q2,2010-04-01,2010-06-30,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,1554000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-19899000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-19899000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,934000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,171000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,6224000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-1159000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-13729000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-13729000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-87000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-44456000.0
Xenoport Inc ,XNPT,,0001130591,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,58934000.0
