company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,1730000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,1730000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,325000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,145000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-2789000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-589000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-589000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-331000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,1000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-330000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-330000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,1565000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,25000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,1590000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,1590000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,671000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q3,2010-07-01,2010-09-30,,,cashinterestpaid,Cash Interest Paid,=,,usd,33000.0
XPO Logistics Inc,XPO,54930096DB9LCLPN7H13,0001166003,2010.0,Q4,2010-10-01,2010-12-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,820000.0
