Ticker,ISIN Code,Company Name,min_date,max_date
A,US00846U1016,Agilent Technologies Inc.,2000-06-30,2020-06-30
AA,US0138171014,Alcoa Inc,1970-03-31,2016-10-31
AAL,US02376R1023,American Airlines Group Inc,2015-03-31,2020-06-30
AAL (Alex),US0144761055,Alexander & Alexander Services Inc,1988-12-31,1996-12-31
AAP,US00751Y1064,Advance Auto Parts Inc,2015-09-30,2020-06-30
AAPL,US0378331005,Apple Inc.,1982-12-31,2020-06-30
AAV,US05349F4028,Avatex Corp (Old),1970-03-31,1994-06-30
ABBV,US00287Y1091,AbbVie Inc.,2013-03-31,2020-06-30
ABC,US03073E1055,AmerisourceBergen Corp.,2001-09-30,2020-06-30
ABI,US0381491002,Applied Biosystems Inc.,1974-12-31,2008-09-30
ABMD,US0036541003,ABIOMED Inc,2018-05-31,2020-06-30
ABS,US0131041040,Albertson's Inc.,1984-12-31,2006-03-31
ABT,US0028241000,Abbott Laboratories,1970-03-31,2020-06-30
ABX,CA0679011084,Barrick Gold Corp.,1993-12-31,2002-06-30
ACAS,US02503Y1038,American Capital Ltd,2007-09-30,2008-12-31
ACKH,US0423841073,Armstrong Holding Inc,1970-03-31,2000-09-30
ACN,IE00B4BNMY34,Accenture plc,2011-09-30,2020-06-30
ACS,US0081901003,Affiliated Computer Services,2004-06-30,2009-12-31
ACV,US0130781000,Alberto-Culver Co.,1971-03-31,2006-09-30
ACY,US0253211009,American Cyanamid Co,1970-03-31,1994-06-30
ADBE,US00724F1012,Adobe Systems Inc.,1997-06-30,2020-06-30
ADCT,US0008863096,ADC Telecommunications Inc,1999-09-30,2007-06-30
ADI,US0326541051,Analog Devices Inc.,1999-12-31,2020-06-30
ADM,US0394831020,Archer-Daniels-Midland Co.,1970-03-31,2020-06-30
ADP,US0530151036,Automatic Data Processing Inc,1981-03-31,2020-06-30
ADS,US0185811082,Alliance Data Systems Corp.,2013-12-31,2020-05-31
ADSK,US0527691069,Autodesk Inc.,1989-12-31,2020-06-30
ADT,US00101J1060,ADT Corp.,2012-12-31,2016-03-31
AEE,US0236081024,Ameren Corp.,1970-03-31,2020-06-30
AEP,US0255371017,American Electric Power Company Inc,1970-03-31,2020-06-30
AES,US00130H1059,AES Corp.,1998-12-31,2020-06-30
AET,US00817Y1082,Aetna Inc.,1976-09-30,2018-11-30
AFL,US0010551028,AFLAC Inc.,1999-06-30,2020-06-30
AFS.A,US0460081088,Associates First Capital Corp,1998-06-30,2000-09-30
AGC,US0263511067,American General Insurance Co,1976-09-30,2001-06-30
AGN,IE00BY9D5467,Allergan plc,1999-06-30,2020-04-30
AGN (Old),US0184901025,Allergan Inc. (Old),1992-03-31,2014-12-31
AHM,US0086771062,H. F. Ahmanson & Co.,1973-06-30,1998-09-30
AIG,US0268747849,AIG Inc.,1980-03-31,2020-06-30
AIT (Ame),US0309541011,Ameritech Corp.,1983-12-31,1999-09-30
AIV,US03748R7540,Aimco,2003-03-31,2020-06-30
AIZ,US04621X1081,Assurant Inc.,2007-06-30,2020-06-30
AJG,US3635761097,Arthur J. Gallagher & Co,2016-06-30,2020-06-30
AKAM,US00971T1016,Akamai Technologies Inc.,2007-09-30,2020-06-30
AKS,US0015471081,AK Steel Holding Corp.,2008-09-30,2011-09-30
AL (Alc),CA0137161059,Alcan Inc.,1970-03-31,2002-06-30
ALB,US0126531013,Albemarle Corp,2016-07-31,2020-06-30
ALGN,US0162551016,Align Technology Inc.,2017-06-30,2020-06-30
ALK,US0116591092,Alaska Air Group,2016-06-30,2020-06-30
ALL,US0200021014,Allstate Corp.,1995-09-30,2020-06-30
ALLE,IE00BFRT3W74,Allegion Plc,2013-12-31,2020-06-30
ALTR (Alt),US0214411003,Altera Corp.,2000-06-30,2015-09-30
ALXN,US0153511094,Alexion Pharmaceuticals Inc,2012-06-30,2020-06-30
AM,US0263751051,American Greetings Corp,1989-12-31,2004-03-31
AMAT,US0382221051,Applied Materials Inc.,1995-03-31,2020-06-30
AMBC,US0231398845,Ambac Financial Group Inc.,2000-12-31,2008-03-31
AMCC,US03822W4069,Applied Micro Circuits Corp.,2001-03-31,2006-03-31
AMCR,JE00BJ1F3079,Amcor plc,2019-06-30,2020-06-30
AMD,US0079031078,Advanced Micro Devices Inc,1984-06-30,2020-06-30
AME,US0311001004,AMETEK Inc,2013-09-30,2020-06-30
AMG,US0082521081,Affiliated Managers Group Inc,2014-09-30,2019-11-30
AMGN,US0311621009,Amgen Inc.,1992-03-31,2020-06-30
AMH (Amd),US0239051024,Amdahl Corp.,1986-12-31,1997-06-30
AMP,US03076C1062,Ameriprise Financial Inc,2005-12-31,2020-06-30
AMP (Old),US0318971019,Amp Inc.,1970-03-31,1999-03-31
AMR (AMR),US0017651060,AMR Corp.,1970-03-31,2002-12-31
AMT,US03027X1000,American Tower Corp.,2007-12-31,2020-06-30
AMT (Acme),US0046261071,Acme-Cleveland Corp,1970-03-31,1992-06-30
AMX (AMA),US0231271034,AMAX Inc.,1970-03-31,1993-09-30
AMZN,US0231351067,Amazon.com Inc.,2005-12-31,2020-06-30
AN,US05329W1027,AutoNation Inc.,2003-03-31,2017-07-31
AN (Amoco),US0319051027,Amoco Corp.,1970-03-31,1998-12-31
ANDV,US03349M1053,Andeavor,2007-09-30,2018-09-30
ANDW,US0344251089,Andrew Corp.,1984-12-31,2006-09-30
ANET,US0404131064,Arista Networks Inc,2018-08-31,2020-06-30
ANF,US0028962076,Abercrombie & Fitch Co,2007-03-31,2013-09-30
ANR,US02076X1028,Alpha Natural Resources Inc,2011-06-30,2012-09-30
ANSS,US03662Q1058,ANSYS Inc.,2017-06-30,2020-06-30
ANTM,US0367521038,Anthem Inc.,2002-09-30,2020-06-30
ANV,US0078691005,Aeroquip Vickers Inc,1970-03-31,1999-03-31
AON,IE00BLP1HW54,Aon plc,1996-06-30,2020-06-30
AOS,US8318652091,A. O. Smith Corp,2017-07-31,2020-06-30
APA,US0374111054,Apache Corp,1997-09-30,2020-06-30
APC,US0325111070,Anadarko Petroleum Corp.,1997-09-30,2019-07-31
APCC,US0290661075,American Power Conversion Corp,2000-06-30,2006-12-31
APD,US0091581068,Air Products & Chemicals Inc,1985-06-30,2020-06-30
APH,US0320951017,Amphenol Corp.,2008-09-30,2020-06-30
APOL,US0376041051,Apollo Education Group,2002-06-30,2013-06-30
APTV,JE00B783TY65,Aptiv PLC,2012-12-31,2020-06-30
AR (Asa),US0434131035,Asarco Inc.,1970-03-31,1999-09-30
ARC (Atl),US0488251036,Atlantic Richfield Co,1970-03-31,2000-03-31
ARE,US0152711091,Alexandria Real Estate Equities,2017-03-31,2020-06-30
ARG,US0093631028,Airgas Inc.,2009-09-30,2016-03-31
AS,US0421701006,Armco Inc.,1970-03-31,1998-09-30
ASC (Ame),US0300961010,American Stores Co.,1970-03-31,1999-03-31
ASH,US0441861046,Ashland Global Holdings Inc,1989-09-30,2008-09-30
ASN,US0395831094,Archstone-Smith Trust,2004-12-31,2007-09-30
ASND,US0434911097,Ascend Comm's Inc,1998-06-30,1999-03-31
ASO,US0321651020,AmSouth Bancorp,1999-03-31,2006-09-30
AT (All),US0200391037,Alltel Corp,1994-12-31,2007-09-30
ATGE,US00737L1035,"DeVry, Inc.",2009-06-30,2012-09-30
ATI,US01741R1023,Allegheny Technologies Inc.,1978-12-31,2015-06-30
ATI (AirT),US00949T1007,Airtouch Communications Inc.,1994-06-30,1999-03-31
ATO,US0495601058,Atmos Energy Corp,2019-02-28,2020-06-30
ATVI,US00507V1098,Activision Blizzard Inc,2015-09-30,2020-06-30
AV,US0534991098,Avaya Inc.,2000-12-31,2007-09-30
AVB,US0534841012,AvalonBay Communities,2007-03-31,2020-06-30
AVGO,US11135F1012,Broadcom Ltd,2014-06-30,2020-06-30
AVP,US0543031027,Avon Products Inc,1970-03-31,2014-12-31
AVY,US0536111091,Avery Dennison Corp,1987-12-31,2020-06-30
AW,US0195893088,Allied Waste Industries Inc.,1999-09-30,2008-09-30
AWE,US00209A1060,AT&T Wireless,2001-09-30,2004-09-30
AWK,US0304201033,American Water Works Inc,2016-03-31,2020-06-30
AXP,US0258161092,American Express Co,1976-09-30,2020-06-30
AYE,US0173611064,Allegheny Energy Inc.,1970-03-31,2010-12-31
AYI,US00508Y1029,Acuity Brands Inc,2016-06-30,2018-05-31
AZA.A,US0226151084,ALZA Corp.,1990-12-31,2001-03-31
AZO,US0533321024,AutoZone Inc,1997-03-31,2020-06-30
BA,US0970231058,Boeing Co.,1970-03-31,2020-06-30
BAC,US0605051046,Bank of America Corp.,1976-09-30,2020-06-30
BAC (Old),US0660501059,BankAmerica Corp. (Old),1976-09-30,1998-09-30
BAX,US0718131099,Baxter International Inc.,1972-09-30,2020-06-30
BAY,US0725101002,Bay Networks Inc.,1996-03-31,1998-06-30
BBBY,US0758961009,Bed Bath & Beyond Inc,1999-12-31,2017-06-30
BBI (Bar),US0680551027,Barnett Banks Inc.,1984-12-31,1997-12-31
BBY,US0865161014,Best Buy Co. Inc.,1999-06-30,2020-06-30
BC,US1170431092,Brunswick Corp.,1973-03-31,2008-03-31
BCO,US1096961040,Brinks Co.,1970-03-31,1995-12-31
BCR,US0673831097,C. R. Bard Inc,1975-06-30,2017-11-30
BDK,US0917971006,Black & Decker Manufacturing,1976-03-31,2009-12-31
BDX,US0758871091,Becton Dickinson & Co,1972-09-30,2020-06-30
BEAM (Sun),US0737301038,Beam Suntory Inc,1976-09-30,2014-03-31
BEN,US3546131018,Franklin Resources Inc,1998-06-30,2020-06-30
BEV,US0878513094,Beverly Enterprises Inc.,1986-06-30,1997-09-30
BF.B,US1156372096,Brown-Forman Corp.,1982-12-31,2020-06-30
BFI,US1158851055,Browning Ferris Industries Inc,1975-09-30,1999-06-30
BFO,US08658U1016,BestFoods,1970-03-31,2000-09-30
BGEN,US0905971059,Biogen NV,2000-03-31,2003-09-30
BGG,US1090431099,Briggs & Stratton Corp,1970-03-31,2001-03-31
BHF,US10922N1037,Brighthouse Financial Inc,2017-08-31,2019-03-31
BIG,US0893021032,Big Lots Inc.,1998-03-31,2012-12-31
BIIB,US09062X1037,Biogen Idec Inc,2003-12-31,2020-06-30
BIO,US0905722072,Bio-Rad Laboratories Inc,2020-06-30,2020-06-30
BJS,US0554821035,BJ Services Co.,2002-06-30,2010-03-31
BK,US0640581007,Bank of New York Mellon Corp,1995-03-31,2020-06-30
BKB,US06605R1068,Bankboston Corp.,1976-09-30,1999-09-30
BKNG,US09857L1089,Booking Holdings Inc,2009-12-31,2020-06-30
BKR,US05722G1004,Baker Hughes Co,1987-06-30,2020-06-30
BLK,US09247X1019,BlackRock Inc,2011-06-30,2020-06-30
BLL,US0584981064,Ball Corp,1984-12-31,2020-06-30
BLS,US0798601029,BellSouth Corp.,1983-12-31,2006-12-31
BLY,US05873C1062,Bally Entertainment Corp.,1985-12-31,1996-09-30
BMET,US0906131000,Biomet Inc.,1990-09-30,2007-06-30
BMGCA,US0715931079,Battle Mountain Gold Co,1996-09-30,1999-06-30
BMMI,US0556071050,BMC Industrial,1998-12-31,2013-06-30
BMS,US0814371052,Bemis Company Inc,1978-09-30,2014-09-30
BMY,US1101221083,Bristol-Myers Squibb Co,1970-03-31,2020-06-30
BNI,US12189T1043,Burlington Northern Santa Fe Corp,1970-03-31,2009-12-31
BNL,US0817211024,Beneficial Corp.,1970-03-31,1998-06-30
BNSSA,US0559664026,BNS Holding Inc,1970-03-31,1992-06-30
BOAT,US0966501068,Boatmens Bancshares Inc.,1991-03-31,1996-12-31
BOL,US0717071031,Bausch & Lomb Inc.,1986-06-30,2007-09-30
BR,US11133T1034,Broadridge Financial Solutions Inc,2018-06-30,2020-06-30
BR (OLD),US1220141030,Burlington Resources,1993-12-31,2006-03-31
BRCM,US1113201073,Broadcom Corp.,2000-09-30,2015-12-31
BRK.B,US0846707026,Berkshire Hathaway Inc,2010-03-31,2020-06-30
BRL,US0683061099,Barr Pharmaceuticals Inc.,2006-03-31,2008-09-30
BRNO,US1168812022,Brunos Inc,1991-06-30,1995-06-30
BS,US0875091052,Bethlehem Steel Corp,1970-03-31,2000-09-30
BSC,US0739021089,Bear Stearns Co,1998-09-30,2008-03-31
BSET,US0702031040,Bassett Furniture Industries Inc,1982-06-30,1995-09-30
BSX,US1011371077,Boston Scientific Corp,1995-03-31,2020-06-30
BT,US0663651075,Bankers Trust Corp.,1976-09-30,1999-03-31
BTU,US7045511000,Peabody Energy Corp,2006-12-31,2014-06-30
BUD (Anh),US0352291035,Anheuser-Busch Inc.,1976-09-30,2008-09-30
BV (Blo),US0936761040,Blockbuster Entertainment,1991-03-31,1994-06-30
BVSN,US1114127061,BroadVision Inc.,2000-12-31,2001-06-30
BWA,US0997241064,BorgWarner Inc,1970-03-31,2020-06-30
BWY (Broa),US1115721037,Broadway Stores Inc,1973-09-30,1990-12-31
BXLT,US07177M1036,Baxalta,2015-09-30,2016-03-31
BXP,US1011211018,Boston Properties,2006-06-30,2020-06-30
C,US1729674242,Citigroup Inc.,1988-06-30,2020-06-30
C (Chrysler),US1711961086,Chrysler Corp.,1970-03-31,1998-09-30
CA,US12673P1057,CA Inc,1987-09-30,2018-10-31
CAG,US2058871029,ConAgra Brands Inc,1983-09-30,2020-06-30
CAH,US14149Y1082,Cardinal Health Inc.,1997-06-30,2020-06-30
CAL,US1295001044,Caleres Inc,1970-03-31,1996-06-30
CAM,US13342B1052,Cameron International Corp,2008-03-31,2016-03-31
CAR,US0537741052,Avis Budget Group,1995-06-30,2006-06-30
CARR,US14448C1045,Carrier Global Corp,2020-04-30,2020-06-30
CAT,US1491231015,Caterpillar Inc.,1970-03-31,2020-06-30
CB,CH0044328745,Chubb Ltd,2002-03-31,2020-06-30
CB (Old),US1712321017,Chubb Corp. (Old),1976-09-30,2015-12-31
CBB (Cal),US1298941014,Caliber System Inc,1976-09-30,1997-12-31
CBE,IE00B40K9117,Cooper Industries plc,1970-03-31,2012-09-30
CBH,US2005191067,Commerce Bancorp (New Jersey),2006-06-30,2007-12-31
CBL (Cor),US2202911085,Corroon & Black Corp,1988-12-31,1990-09-30
CBOE,US12503M1080,CBOE Holdings Inc,2017-03-31,2020-06-30
CBRE,US12504L1098,CBRE Group Inc,2006-12-31,2020-06-30
CBS (Inc),US1248451080,CBS Inc.,1970-03-31,1995-09-30
CBS (Old),US12490K1079,CBS Corp. (Old),1970-03-31,2000-03-31
CBSS,US20449H1095,Compass Bancshares Inc,2004-12-31,2007-06-30
CC (Circ),US1727371080,Circuit City Stores Inc.,1989-06-30,2007-12-31
CCB (Cap),US1398591024,Capital Cities/ABC Inc.,1970-03-31,1995-12-31
CCE,US19122T1097,Coca-Cola European Partners plc,1998-12-31,2016-03-31
CCI,US22822V1017,Crown Castle Int'l Corp.,2012-03-31,2020-06-30
CCI (Citi),US17399Z9316,Citicorp Inc (Old),1976-09-30,1998-09-30
CCK,US2283681060,Crown Holdings Inc,1970-03-31,2000-09-30
CCL,PA1436583006,Carnival Corp.,1998-12-31,2020-06-30
CDNS,US1273871087,Cadence Design Systems Inc,2017-09-30,2020-06-30
CDW,US12514G1085,CDW Corp,2019-09-30,2020-06-30
CE,US1508701034,Celanese Corp,2018-12-31,2020-06-30
CE (Con),US2061971055,Concord EFS Inc.,2001-06-30,2003-12-31
CEG,US2103711006,Constellation Energy Group Inc,1970-03-31,2011-12-31
CELG,US1510201049,Celgene Corp.,2006-12-31,2019-10-31
CEM,US16361A1060,Chemfirst Inc,1975-03-31,1995-09-30
CEN,US1567791009,Ceridian Corp.,1970-03-31,2001-03-31
CEPH,US1567081096,Cephalon Inc.,2008-12-31,2011-09-30
CERN,US1567821046,Cerner Corp,2010-06-30,2020-06-30
CF,US1252691001,CF Industries Holdings Inc.,2008-09-30,2020-06-30
CF (Char),US1609031000,Charter One Financial Inc,2000-06-30,2004-06-30
